2026-06-29 12:54:54,260 | INFO | Opening: https://books.toscrape.com/
2026-06-29 12:54:54,449 | INFO | Selecting random categories...
2026-06-29 12:54:54,469 | INFO | Selected 5 random categor(ies).
2026-06-29 12:54:54,474 | INFO | Opening category: Historical Fiction
2026-06-29 12:54:54,540 | INFO | Verifying category: Historical Fiction
2026-06-29 12:54:54,592 | INFO | ✓ Category page loaded.
2026-06-29 12:54:54,592 | INFO | Selecting random books...
2026-06-29 12:54:54,596 | INFO | Selected 5 random book(s).
2026-06-29 12:54:54,602 | INFO | Opening book: Mrs. Houdini
2026-06-29 12:54:54,689 | INFO | Verifying book details page: Mrs. Houdini
2026-06-29 12:54:54,707 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:54,716 | INFO | Verifying book information...
2026-06-29 12:54:54,730 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:54,764 | INFO | Verifying category: Historical Fiction
2026-06-29 12:54:54,780 | INFO | ✓ Category page loaded.
2026-06-29 12:54:54,787 | INFO | Opening book: Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton
2026-06-29 12:54:54,867 | INFO | Verifying book details page: Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton
2026-06-29 12:54:54,882 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:54,891 | INFO | Verifying book information...
2026-06-29 12:54:54,902 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:54,930 | INFO | Verifying category: Historical Fiction
2026-06-29 12:54:54,950 | INFO | ✓ Category page loaded.
2026-06-29 12:54:54,960 | INFO | Opening book: The Constant Princess (The Tudor Court #1)
2026-06-29 12:54:55,033 | INFO | Verifying book details page: The Constant Princess (The Tudor Court #1)
2026-06-29 12:54:55,050 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:55,058 | INFO | Verifying book information...
2026-06-29 12:54:55,069 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:55,108 | INFO | Verifying category: Historical Fiction
2026-06-29 12:54:55,124 | INFO | ✓ Category page loaded.
2026-06-29 12:54:55,130 | INFO | Opening book: A Flight of Arrows (The Pathfinders #2)
2026-06-29 12:54:55,206 | INFO | Verifying book details page: A Flight of Arrows (The Pathfinders #2)
2026-06-29 12:54:55,220 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:55,229 | INFO | Verifying book information...
2026-06-29 12:54:55,240 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:55,274 | INFO | Verifying category: Historical Fiction
2026-06-29 12:54:55,289 | INFO | ✓ Category page loaded.
2026-06-29 12:54:55,297 | INFO | Opening book: The Last Painting of Sara de Vos
2026-06-29 12:54:55,367 | INFO | Verifying book details page: The Last Painting of Sara de Vos
2026-06-29 12:54:55,384 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:55,391 | INFO | Verifying book information...
2026-06-29 12:54:55,402 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:55,436 | INFO | Verifying category: Historical Fiction
2026-06-29 12:54:55,452 | INFO | ✓ Category page loaded.
2026-06-29 12:54:55,486 | INFO | Verifying homepage is loaded...
2026-06-29 12:54:55,506 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:54:55,509 | INFO | Opening category: Childrens
2026-06-29 12:54:55,569 | INFO | Verifying category: Childrens
2026-06-29 12:54:55,616 | INFO | ✓ Category page loaded.
2026-06-29 12:54:55,616 | INFO | Selecting random books...
2026-06-29 12:54:55,620 | INFO | Selected 5 random book(s).
2026-06-29 12:54:55,626 | INFO | Opening book: The Thing About Jellyfish
2026-06-29 12:54:55,702 | INFO | Verifying book details page: The Thing About Jellyfish
2026-06-29 12:54:55,719 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:55,726 | INFO | Verifying book information...
2026-06-29 12:54:55,737 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:55,774 | INFO | Verifying category: Childrens
2026-06-29 12:54:55,790 | INFO | ✓ Category page loaded.
2026-06-29 12:54:55,797 | INFO | Opening book: Maybe Something Beautiful: How Art Transformed a Neighborhood
2026-06-29 12:54:55,867 | INFO | Verifying book details page: Maybe Something Beautiful: How Art Transformed a Neighborhood
2026-06-29 12:54:55,884 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:55,891 | INFO | Verifying book information...
2026-06-29 12:54:55,904 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:55,936 | INFO | Verifying category: Childrens
2026-06-29 12:54:55,951 | INFO | ✓ Category page loaded.
2026-06-29 12:54:55,959 | INFO | Opening book: The Lonely Ones
2026-06-29 12:54:56,032 | INFO | Verifying book details page: The Lonely Ones
2026-06-29 12:54:56,049 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:56,056 | INFO | Verifying book information...
2026-06-29 12:54:56,068 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:56,097 | INFO | Verifying category: Childrens
2026-06-29 12:54:56,115 | INFO | ✓ Category page loaded.
2026-06-29 12:54:56,122 | INFO | Opening book: Birdsong: A Story in Pictures
2026-06-29 12:54:56,202 | INFO | Verifying book details page: Birdsong: A Story in Pictures
2026-06-29 12:54:56,228 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:56,235 | INFO | Verifying book information...
2026-06-29 12:54:56,246 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:56,278 | INFO | Verifying category: Childrens
2026-06-29 12:54:56,295 | INFO | ✓ Category page loaded.
2026-06-29 12:54:56,303 | INFO | Opening book: Raymie Nightingale
2026-06-29 12:54:56,387 | INFO | Verifying book details page: Raymie Nightingale
2026-06-29 12:54:56,404 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:56,412 | INFO | Verifying book information...
2026-06-29 12:54:56,425 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:56,455 | INFO | Verifying category: Childrens
2026-06-29 12:54:56,473 | INFO | ✓ Category page loaded.
2026-06-29 12:54:56,506 | INFO | Verifying homepage is loaded...
2026-06-29 12:54:56,524 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:54:56,532 | INFO | Opening category: Romance
2026-06-29 12:54:56,590 | INFO | Verifying category: Romance
2026-06-29 12:54:56,628 | INFO | ✓ Category page loaded.
2026-06-29 12:54:56,629 | INFO | Selecting random books...
2026-06-29 12:54:56,632 | INFO | Selected 5 random book(s).
2026-06-29 12:54:56,637 | INFO | Opening book: A Gentleman's Position (Society of Gentlemen #3)
2026-06-29 12:54:56,716 | INFO | Verifying book details page: A Gentleman's Position (Society of Gentlemen #3)
2026-06-29 12:54:56,732 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:56,740 | INFO | Verifying book information...
2026-06-29 12:54:56,751 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:56,780 | INFO | Verifying category: Romance
2026-06-29 12:54:56,798 | INFO | ✓ Category page loaded.
2026-06-29 12:54:56,807 | INFO | Opening book: A Girl's Guide to Moving On (New Beginnings #2)
2026-06-29 12:54:56,886 | INFO | Verifying book details page: A Girl's Guide to Moving On (New Beginnings #2)
2026-06-29 12:54:56,902 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:56,909 | INFO | Verifying book information...
2026-06-29 12:54:56,921 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:56,956 | INFO | Verifying category: Romance
2026-06-29 12:54:56,969 | INFO | ✓ Category page loaded.
2026-06-29 12:54:56,977 | INFO | Opening book: The Perfect Play (Play by Play #1)
2026-06-29 12:54:57,045 | INFO | Verifying book details page: The Perfect Play (Play by Play #1)
2026-06-29 12:54:57,063 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:57,069 | INFO | Verifying book information...
2026-06-29 12:54:57,080 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:57,120 | INFO | Verifying category: Romance
2026-06-29 12:54:57,134 | INFO | ✓ Category page loaded.
2026-06-29 12:54:57,141 | INFO | Opening book: Black Dust
2026-06-29 12:54:57,219 | INFO | Verifying book details page: Black Dust
2026-06-29 12:54:57,235 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:57,241 | INFO | Verifying book information...
2026-06-29 12:54:57,252 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:57,279 | INFO | Verifying category: Romance
2026-06-29 12:54:57,296 | INFO | ✓ Category page loaded.
2026-06-29 12:54:57,303 | INFO | Opening book: Suddenly in Love (Lake Haven #1)
2026-06-29 12:54:57,384 | INFO | Verifying book details page: Suddenly in Love (Lake Haven #1)
2026-06-29 12:54:57,398 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:57,406 | INFO | Verifying book information...
2026-06-29 12:54:57,419 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:54:57,457 | INFO | Verifying category: Romance
2026-06-29 12:54:57,474 | INFO | ✓ Category page loaded.
2026-06-29 12:54:57,506 | INFO | Verifying homepage is loaded...
2026-06-29 12:54:57,531 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:54:57,534 | INFO | Opening category: Thriller
2026-06-29 12:54:57,594 | INFO | Verifying category: Thriller
2026-06-29 12:54:57,627 | INFO | ✓ Category page loaded.
2026-06-29 12:54:57,628 | INFO | Selecting random books...
2026-06-29 12:54:57,631 | INFO | Selected 5 random book(s).
2026-06-29 12:54:57,636 | INFO | Opening book: Far From True (Promise Falls Trilogy #2)
2026-06-29 12:54:57,695 | INFO | Verifying book details page: Far From True (Promise Falls Trilogy #2)
2026-06-29 12:54:57,712 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:54:57,719 | INFO | Verifying book information...
2026-06-29 12:54:57,730 | INFO | ✓ Price, availability, image, and description are visible.
