2026-06-29 12:31:15,084 | INFO | Opening: https://books.toscrape.com/
2026-06-29 12:31:15,721 | INFO | Selecting random categories...
2026-06-29 12:31:15,737 | INFO | Selected 5 random categor(ies).
2026-06-29 12:31:15,740 | INFO | Opening category: Erotica
2026-06-29 12:31:15,854 | INFO | Verifying category: Erotica
2026-06-29 12:31:15,874 | INFO | ✓ Category page loaded.
2026-06-29 12:31:15,875 | INFO | Selecting random books...
2026-06-29 12:31:15,877 | INFO | Selected 1 random book(s).
2026-06-29 12:31:15,882 | INFO | Opening book: Dark Notes
2026-06-29 12:31:15,999 | INFO | Verifying book details page: Dark Notes
2026-06-29 12:31:16,010 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:16,016 | INFO | Verifying book information...
2026-06-29 12:31:16,117 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:16,133 | INFO | Verifying category: Erotica
2026-06-29 12:31:16,143 | INFO | ✓ Category page loaded.
2026-06-29 12:31:16,166 | INFO | Verifying homepage is loaded...
2026-06-29 12:31:16,181 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:31:16,184 | INFO | Opening category: Poetry
2026-06-29 12:31:16,303 | INFO | Verifying category: Poetry
2026-06-29 12:31:16,324 | INFO | ✓ Category page loaded.
2026-06-29 12:31:16,324 | INFO | Selecting random books...
2026-06-29 12:31:16,326 | INFO | Selected 5 random book(s).
2026-06-29 12:31:16,330 | INFO | Opening book: The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1)
2026-06-29 12:31:16,467 | INFO | Verifying book details page: The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1)
2026-06-29 12:31:16,478 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:16,483 | INFO | Verifying book information...
2026-06-29 12:31:16,584 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:16,605 | INFO | Verifying category: Poetry
2026-06-29 12:31:16,617 | INFO | ✓ Category page loaded.
2026-06-29 12:31:16,622 | INFO | Opening book: Booked
2026-06-29 12:31:16,745 | INFO | Verifying book details page: Booked
2026-06-29 12:31:16,756 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:16,761 | INFO | Verifying book information...
2026-06-29 12:31:16,857 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:16,881 | INFO | Verifying category: Poetry
2026-06-29 12:31:16,892 | INFO | ✓ Category page loaded.
2026-06-29 12:31:16,896 | INFO | Opening book: Quarter Life Poetry: Poems for the Young, Broke and Hangry
2026-06-29 12:31:17,029 | INFO | Verifying book details page: Quarter Life Poetry: Poems for the Young, Broke and Hangry
2026-06-29 12:31:17,040 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:17,045 | INFO | Verifying book information...
2026-06-29 12:31:17,141 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:17,164 | INFO | Verifying category: Poetry
2026-06-29 12:31:17,175 | INFO | ✓ Category page loaded.
2026-06-29 12:31:17,180 | INFO | Opening book: A Light in the Attic
2026-06-29 12:31:17,310 | INFO | Verifying book details page: A Light in the Attic
2026-06-29 12:31:17,320 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:17,325 | INFO | Verifying book information...
2026-06-29 12:31:17,413 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:17,434 | INFO | Verifying category: Poetry
2026-06-29 12:31:17,447 | INFO | ✓ Category page loaded.
2026-06-29 12:31:17,453 | INFO | Opening book: Out of Print: City Lights Spotlight No. 14
2026-06-29 12:31:17,580 | INFO | Verifying book details page: Out of Print: City Lights Spotlight No. 14
2026-06-29 12:31:17,592 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:17,597 | INFO | Verifying book information...
2026-06-29 12:31:17,698 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:17,719 | INFO | Verifying category: Poetry
2026-06-29 12:31:17,731 | INFO | ✓ Category page loaded.
2026-06-29 12:31:17,754 | INFO | Verifying homepage is loaded...
2026-06-29 12:31:17,767 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:31:17,770 | INFO | Opening category: Christian
2026-06-29 12:31:17,886 | INFO | Verifying category: Christian
2026-06-29 12:31:17,899 | INFO | ✓ Category page loaded.
2026-06-29 12:31:17,899 | INFO | Selecting random books...
2026-06-29 12:31:17,901 | INFO | Selected 3 random book(s).
2026-06-29 12:31:17,906 | INFO | Opening book: Crazy Love: Overwhelmed by a Relentless God
2026-06-29 12:31:18,030 | INFO | Verifying book details page: Crazy Love: Overwhelmed by a Relentless God
2026-06-29 12:31:18,040 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:18,045 | INFO | Verifying book information...
2026-06-29 12:31:18,142 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:18,160 | INFO | Verifying category: Christian
2026-06-29 12:31:18,171 | INFO | ✓ Category page loaded.
2026-06-29 12:31:18,175 | INFO | Opening book: (Un)Qualified: How God Uses Broken People to Do Big Things
2026-06-29 12:31:18,295 | INFO | Verifying book details page: (Un)Qualified: How God Uses Broken People to Do Big Things
2026-06-29 12:31:18,306 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:18,311 | INFO | Verifying book information...
2026-06-29 12:31:18,408 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:18,426 | INFO | Verifying category: Christian
2026-06-29 12:31:18,437 | INFO | ✓ Category page loaded.
2026-06-29 12:31:18,441 | INFO | Opening book: Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
2026-06-29 12:31:18,563 | INFO | Verifying book details page: Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
2026-06-29 12:31:18,574 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:18,579 | INFO | Verifying book information...
2026-06-29 12:31:18,676 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:18,693 | INFO | Verifying category: Christian
2026-06-29 12:31:18,705 | INFO | ✓ Category page loaded.
2026-06-29 12:31:18,731 | INFO | Verifying homepage is loaded...
2026-06-29 12:31:18,744 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:31:18,746 | INFO | Opening category: Spirituality
2026-06-29 12:31:18,871 | INFO | Verifying category: Spirituality
2026-06-29 12:31:18,884 | INFO | ✓ Category page loaded.
2026-06-29 12:31:18,885 | INFO | Selecting random books...
2026-06-29 12:31:18,887 | INFO | Selected 5 random book(s).
2026-06-29 12:31:18,891 | INFO | Opening book: The Four Agreements: A Practical Guide to Personal Freedom
2026-06-29 12:31:19,012 | INFO | Verifying book details page: The Four Agreements: A Practical Guide to Personal Freedom
2026-06-29 12:31:19,023 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:19,028 | INFO | Verifying book information...
2026-06-29 12:31:19,125 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:31:19,144 | INFO | Verifying category: Spirituality
2026-06-29 12:31:19,155 | INFO | ✓ Category page loaded.
2026-06-29 12:31:19,160 | INFO | Opening book: The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution
2026-06-29 12:31:19,279 | INFO | Verifying book details page: The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution
2026-06-29 12:31:19,291 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:31:19,296 | INFO | Verifying book information...
2026-06-29 12:31:19,393 | INFO | ✓ Price, availability, image, and description are visible.
