2026-06-29 12:34:44,836 | INFO | Opening: https://books.toscrape.com/
2026-06-29 12:34:45,180 | INFO | Selecting random categories...
2026-06-29 12:34:45,205 | INFO | Selected 5 random categor(ies).
2026-06-29 12:34:45,210 | INFO | Opening category: New Adult
2026-06-29 12:34:45,264 | INFO | Verifying category: New Adult
2026-06-29 12:34:45,296 | INFO | ✓ Category page loaded.
2026-06-29 12:34:45,296 | INFO | Selecting random books...
2026-06-29 12:34:45,301 | INFO | Selected 5 random book(s).
2026-06-29 12:34:45,308 | INFO | Opening book: Off Sides (Off #1)
2026-06-29 12:34:45,379 | INFO | Verifying book details page: Off Sides (Off #1)
2026-06-29 12:34:45,393 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:45,425 | INFO | Verifying category: New Adult
2026-06-29 12:34:45,438 | INFO | ✓ Category page loaded.
2026-06-29 12:34:45,445 | INFO | Opening book: The Mistake (Off-Campus #2)
2026-06-29 12:34:45,521 | INFO | Verifying book details page: The Mistake (Off-Campus #2)
2026-06-29 12:34:45,540 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:45,569 | INFO | Verifying category: New Adult
2026-06-29 12:34:45,582 | INFO | ✓ Category page loaded.
2026-06-29 12:34:45,588 | INFO | Opening book: Shameless
2026-06-29 12:34:45,672 | INFO | Verifying book details page: Shameless
2026-06-29 12:34:45,685 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:45,711 | INFO | Verifying category: New Adult
2026-06-29 12:34:45,725 | INFO | ✓ Category page loaded.
2026-06-29 12:34:45,731 | INFO | Opening book: The Matchmaker's Playbook (Wingmen Inc. #1)
2026-06-29 12:34:45,805 | INFO | Verifying book details page: The Matchmaker's Playbook (Wingmen Inc. #1)
2026-06-29 12:34:45,819 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:45,847 | INFO | Verifying category: New Adult
2026-06-29 12:34:45,861 | INFO | ✓ Category page loaded.
2026-06-29 12:34:45,867 | INFO | Opening book: Without Borders (Wanderlove #1)
2026-06-29 12:34:45,938 | INFO | Verifying book details page: Without Borders (Wanderlove #1)
2026-06-29 12:34:45,953 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:45,979 | INFO | Verifying category: New Adult
2026-06-29 12:34:45,995 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,027 | INFO | Verifying homepage is loaded...
2026-06-29 12:34:46,043 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:34:46,046 | INFO | Opening category: Humor
2026-06-29 12:34:46,110 | INFO | Verifying category: Humor
2026-06-29 12:34:46,137 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,137 | INFO | Selecting random books...
2026-06-29 12:34:46,158 | INFO | Selected 5 random book(s).
2026-06-29 12:34:46,164 | INFO | Opening book: Dress Your Family in Corduroy and Denim
2026-06-29 12:34:46,238 | INFO | Verifying book details page: Dress Your Family in Corduroy and Denim
2026-06-29 12:34:46,254 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:46,286 | INFO | Verifying category: Humor
2026-06-29 12:34:46,300 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,306 | INFO | Opening book: Lamb: The Gospel According to Biff, Christ's Childhood Pal
2026-06-29 12:34:46,387 | INFO | Verifying book details page: Lamb: The Gospel According to Biff, Christ's Childhood Pal
2026-06-29 12:34:46,401 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:46,429 | INFO | Verifying category: Humor
2026-06-29 12:34:46,443 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,451 | INFO | Opening book: Holidays on Ice
2026-06-29 12:34:46,521 | INFO | Verifying book details page: Holidays on Ice
2026-06-29 12:34:46,537 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:46,566 | INFO | Verifying category: Humor
2026-06-29 12:34:46,580 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,586 | INFO | Opening book: The Long Haul (Diary of a Wimpy Kid #9)
2026-06-29 12:34:46,662 | INFO | Verifying book details page: The Long Haul (Diary of a Wimpy Kid #9)
2026-06-29 12:34:46,677 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:46,711 | INFO | Verifying category: Humor
2026-06-29 12:34:46,724 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,731 | INFO | Opening book: Old School (Diary of a Wimpy Kid #10)
2026-06-29 12:34:46,804 | INFO | Verifying book details page: Old School (Diary of a Wimpy Kid #10)
2026-06-29 12:34:46,819 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:46,846 | INFO | Verifying category: Humor
2026-06-29 12:34:46,863 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,894 | INFO | Verifying homepage is loaded...
2026-06-29 12:34:46,910 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:34:46,913 | INFO | Opening category: Suspense
2026-06-29 12:34:46,974 | INFO | Verifying category: Suspense
2026-06-29 12:34:46,990 | INFO | ✓ Category page loaded.
2026-06-29 12:34:46,990 | INFO | Selecting random books...
2026-06-29 12:34:46,994 | INFO | Selected 1 random book(s).
2026-06-29 12:34:46,999 | INFO | Opening book: Silence in the Dark (Logan Point #4)
2026-06-29 12:34:47,071 | INFO | Verifying book details page: Silence in the Dark (Logan Point #4)
2026-06-29 12:34:47,086 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:47,110 | INFO | Verifying category: Suspense
2026-06-29 12:34:47,122 | INFO | ✓ Category page loaded.
2026-06-29 12:34:47,150 | INFO | Verifying homepage is loaded...
2026-06-29 12:34:47,167 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:34:47,172 | INFO | Opening category: History
2026-06-29 12:34:47,226 | INFO | Verifying category: History
2026-06-29 12:34:47,260 | INFO | ✓ Category page loaded.
2026-06-29 12:34:47,261 | INFO | Selecting random books...
2026-06-29 12:34:47,264 | INFO | Selected 5 random book(s).
2026-06-29 12:34:47,270 | INFO | Opening book: Sapiens: A Brief History of Humankind
2026-06-29 12:34:47,337 | INFO | Verifying book details page: Sapiens: A Brief History of Humankind
2026-06-29 12:34:47,350 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:47,380 | INFO | Verifying category: History
2026-06-29 12:34:47,393 | INFO | ✓ Category page loaded.
2026-06-29 12:34:47,400 | INFO | Opening book: The Mathews Men: Seven Brothers and the War Against Hitler's U-boats
2026-06-29 12:34:47,472 | INFO | Verifying book details page: The Mathews Men: Seven Brothers and the War Against Hitler's U-boats
2026-06-29 12:34:47,487 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:47,522 | INFO | Verifying category: History
2026-06-29 12:34:47,535 | INFO | ✓ Category page loaded.
2026-06-29 12:34:47,541 | INFO | Opening book: A Short History of Nearly Everything
2026-06-29 12:34:47,621 | INFO | Verifying book details page: A Short History of Nearly Everything
2026-06-29 12:34:47,635 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:47,666 | INFO | Verifying category: History
2026-06-29 12:34:47,680 | INFO | ✓ Category page loaded.
2026-06-29 12:34:47,686 | INFO | Opening book: A Distant Mirror: The Calamitous 14th Century
2026-06-29 12:34:47,755 | INFO | Verifying book details page: A Distant Mirror: The Calamitous 14th Century
2026-06-29 12:34:47,768 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:47,799 | INFO | Verifying category: History
2026-06-29 12:34:47,816 | INFO | ✓ Category page loaded.
2026-06-29 12:34:47,821 | INFO | Opening book: The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind
2026-06-29 12:34:47,904 | INFO | Verifying book details page: The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind
2026-06-29 12:34:47,918 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:47,949 | INFO | Verifying category: History
2026-06-29 12:34:47,964 | INFO | ✓ Category page loaded.
2026-06-29 12:34:47,997 | INFO | Verifying homepage is loaded...
2026-06-29 12:34:48,013 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:34:48,016 | INFO | Opening category: Contemporary
2026-06-29 12:34:48,074 | INFO | Verifying category: Contemporary
2026-06-29 12:34:48,093 | INFO | ✓ Category page loaded.
2026-06-29 12:34:48,093 | INFO | Selecting random books...
2026-06-29 12:34:48,098 | INFO | Selected 3 random book(s).
2026-06-29 12:34:48,103 | INFO | Opening book: We Are All Completely Beside Ourselves
2026-06-29 12:34:48,172 | INFO | Verifying book details page: We Are All Completely Beside Ourselves
2026-06-29 12:34:48,189 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:48,214 | INFO | Verifying category: Contemporary
2026-06-29 12:34:48,228 | INFO | ✓ Category page loaded.
2026-06-29 12:34:48,233 | INFO | Opening book: Someone Like You (The Harrisons #2)
2026-06-29 12:34:48,304 | INFO | Verifying book details page: Someone Like You (The Harrisons #2)
2026-06-29 12:34:48,316 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:48,340 | INFO | Verifying category: Contemporary
2026-06-29 12:34:48,353 | INFO | ✓ Category page loaded.
2026-06-29 12:34:48,359 | INFO | Opening book: When We Collided
2026-06-29 12:34:48,437 | INFO | Verifying book details page: When We Collided
2026-06-29 12:34:48,450 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:34:48,474 | INFO | Verifying category: Contemporary
2026-06-29 12:34:48,488 | INFO | ✓ Category page loaded.
2026-06-29 12:34:48,515 | INFO | Verifying homepage is loaded...
2026-06-29 12:34:48,534 | INFO | ✓ Homepage loaded successfully.
