2026-06-29 12:58:24,738 | INFO | Opening: https://books.toscrape.com/
2026-06-29 12:58:24,907 | INFO | Selecting random categories...
2026-06-29 12:58:24,927 | INFO | Selected 5 random categor(ies).
2026-06-29 12:58:24,930 | INFO | Opening category: Paranormal
2026-06-29 12:58:24,981 | INFO | Verifying category: Paranormal
2026-06-29 12:58:25,010 | INFO | ✓ Category page loaded.
2026-06-29 12:58:25,011 | INFO | Selecting random books...
2026-06-29 12:58:25,014 | INFO | Selected 1 random book(s).
2026-06-29 12:58:25,019 | INFO | Opening book: Vampire Knight, Vol. 1 (Vampire Knight #1)
2026-06-29 12:58:25,079 | INFO | Verifying book details page: Vampire Knight, Vol. 1 (Vampire Knight #1)
2026-06-29 12:58:25,095 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:58:25,103 | INFO | Verifying book information...
2026-06-29 12:58:25,115 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:58:25,135 | INFO | Verifying category: Paranormal
2026-06-29 12:58:25,148 | INFO | ✓ Category page loaded.
2026-06-29 12:58:25,176 | INFO | Verifying homepage is loaded...
2026-06-29 12:58:25,196 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:58:25,199 | INFO | Opening category: Nonfiction
2026-06-29 12:58:25,246 | INFO | Verifying category: Nonfiction
2026-06-29 12:58:25,286 | INFO | ✓ Category page loaded.
2026-06-29 12:58:25,287 | INFO | Selecting random books...
2026-06-29 12:58:25,290 | INFO | Selected 5 random book(s).
2026-06-29 12:58:25,295 | INFO | Opening book: Reasons to Stay Alive
2026-06-29 12:58:25,360 | INFO | Verifying book details page: Reasons to Stay Alive
2026-06-29 12:58:25,376 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:58:25,383 | INFO | Verifying book information...
2026-06-29 12:58:25,393 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:58:25,424 | INFO | Verifying category: Nonfiction
2026-06-29 12:58:25,439 | INFO | ✓ Category page loaded.
2026-06-29 12:58:25,445 | INFO | Opening book: In the Country We Love: My Family Divided
