2026-06-29 12:59:56,740 | INFO | Opening: https://books.toscrape.com/
2026-06-29 12:59:57,475 | INFO | Selecting random categories...
2026-06-29 12:59:57,492 | INFO | Selected 5 random categor(ies).
2026-06-29 12:59:57,496 | INFO | Opening category: Business
2026-06-29 12:59:57,602 | INFO | Verifying category: Business
2026-06-29 12:59:57,623 | INFO | ✓ Category page loaded.
2026-06-29 12:59:57,623 | INFO | Selecting random books...
2026-06-29 12:59:57,627 | INFO | Selected 5 random book(s).
2026-06-29 12:59:57,631 | INFO | Opening book: Shoe Dog: A Memoir by the Creator of NIKE
2026-06-29 12:59:57,739 | INFO | Verifying book details page: Shoe Dog: A Memoir by the Creator of NIKE
2026-06-29 12:59:57,748 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:57,771 | INFO | Verifying category: Business
2026-06-29 12:59:57,780 | INFO | ✓ Category page loaded.
2026-06-29 12:59:57,784 | INFO | Opening book: Born for This: How to Find the Work You Were Meant to Do
2026-06-29 12:59:57,888 | INFO | Verifying book details page: Born for This: How to Find the Work You Were Meant to Do
2026-06-29 12:59:57,898 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:57,920 | INFO | Verifying category: Business
2026-06-29 12:59:57,929 | INFO | ✓ Category page loaded.
2026-06-29 12:59:57,933 | INFO | Opening book: Rework
2026-06-29 12:59:58,041 | INFO | Verifying book details page: Rework
2026-06-29 12:59:58,049 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:58,071 | INFO | Verifying category: Business
2026-06-29 12:59:58,079 | INFO | ✓ Category page loaded.
2026-06-29 12:59:58,083 | INFO | Opening book: The Dirty Little Secrets of Getting Your Dream Job
2026-06-29 12:59:58,188 | INFO | Verifying book details page: The Dirty Little Secrets of Getting Your Dream Job
2026-06-29 12:59:58,197 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:58,218 | INFO | Verifying category: Business
2026-06-29 12:59:58,227 | INFO | ✓ Category page loaded.
2026-06-29 12:59:58,232 | INFO | Opening book: Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two
2026-06-29 12:59:58,338 | INFO | Verifying book details page: Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two
2026-06-29 12:59:58,347 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:58,369 | INFO | Verifying category: Business
2026-06-29 12:59:58,379 | INFO | ✓ Category page loaded.
2026-06-29 12:59:58,400 | INFO | Verifying homepage is loaded...
2026-06-29 12:59:58,412 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:59:58,414 | INFO | Opening category: Contemporary
2026-06-29 12:59:58,515 | INFO | Verifying category: Contemporary
2026-06-29 12:59:58,528 | INFO | ✓ Category page loaded.
2026-06-29 12:59:58,528 | INFO | Selecting random books...
2026-06-29 12:59:58,544 | INFO | Selected 3 random book(s).
2026-06-29 12:59:58,548 | INFO | Opening book: Someone Like You (The Harrisons #2)
2026-06-29 12:59:58,637 | INFO | Verifying book details page: Someone Like You (The Harrisons #2)
2026-06-29 12:59:58,646 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:58,665 | INFO | Verifying category: Contemporary
2026-06-29 12:59:58,673 | INFO | ✓ Category page loaded.
2026-06-29 12:59:58,677 | INFO | Opening book: When We Collided
2026-06-29 12:59:58,787 | INFO | Verifying book details page: When We Collided
2026-06-29 12:59:58,797 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:58,816 | INFO | Verifying category: Contemporary
2026-06-29 12:59:58,825 | INFO | ✓ Category page loaded.
2026-06-29 12:59:58,829 | INFO | Opening book: We Are All Completely Beside Ourselves
2026-06-29 12:59:58,938 | INFO | Verifying book details page: We Are All Completely Beside Ourselves
2026-06-29 12:59:58,947 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:58,967 | INFO | Verifying category: Contemporary
2026-06-29 12:59:58,975 | INFO | ✓ Category page loaded.
2026-06-29 12:59:58,993 | INFO | Verifying homepage is loaded...
2026-06-29 12:59:59,006 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:59:59,008 | INFO | Opening category: Novels
2026-06-29 12:59:59,113 | INFO | Verifying category: Novels
2026-06-29 12:59:59,123 | INFO | ✓ Category page loaded.
2026-06-29 12:59:59,124 | INFO | Selecting random books...
2026-06-29 12:59:59,127 | INFO | Selected 1 random book(s).
