2026-06-29 12:59:15,656 | INFO | Opening: https://books.toscrape.com/
2026-06-29 12:59:15,856 | INFO | Selecting random categories...
2026-06-29 12:59:15,877 | INFO | Selected 5 random categor(ies).
2026-06-29 12:59:15,881 | INFO | Opening category: Nonfiction
2026-06-29 12:59:15,937 | INFO | Verifying category: Nonfiction
2026-06-29 12:59:15,988 | INFO | ✓ Category page loaded.
2026-06-29 12:59:15,989 | INFO | Selecting random books...
2026-06-29 12:59:15,992 | INFO | Selected 5 random book(s).
2026-06-29 12:59:15,998 | INFO | Opening book: The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
2026-06-29 12:59:16,083 | INFO | Verifying book details page: The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
2026-06-29 12:59:16,103 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:16,111 | INFO | Verifying book information...
2026-06-29 12:59:16,127 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:59:16,159 | INFO | Verifying category: Nonfiction
2026-06-29 12:59:16,177 | INFO | ✓ Category page loaded.
2026-06-29 12:59:16,184 | INFO | Opening book: Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity
2026-06-29 12:59:16,264 | INFO | Verifying book details page: Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity
2026-06-29 12:59:16,280 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:16,287 | INFO | Verifying book information...
2026-06-29 12:59:16,298 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 12:59:16,324 | INFO | Verifying category: Nonfiction
2026-06-29 12:59:16,342 | INFO | ✓ Category page loaded.
2026-06-29 12:59:16,348 | INFO | Opening book: So You've Been Publicly Shamed
2026-06-29 12:59:16,429 | INFO | Verifying book details page: So You've Been Publicly Shamed
2026-06-29 12:59:16,445 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:16,452 | INFO | Verifying book information...
