2026-06-29 13:00:00,548 | INFO | Opening: https://books.toscrape.com/
2026-06-29 13:00:01,168 | INFO | Selecting random categories...
2026-06-29 13:00:01,181 | INFO | Selected 5 random categor(ies).
2026-06-29 13:00:01,183 | INFO | Opening category: Nonfiction
2026-06-29 13:00:01,292 | INFO | Verifying category: Nonfiction
2026-06-29 13:00:01,314 | INFO | ✓ Category page loaded.
2026-06-29 13:00:01,314 | INFO | Selecting random books...
2026-06-29 13:00:01,317 | INFO | Selected 5 random book(s).
2026-06-29 13:00:01,320 | INFO | Opening book: The Power of Now: A Guide to Spiritual Enlightenment
2026-06-29 13:00:01,455 | INFO | Verifying book details page: The Power of Now: A Guide to Spiritual Enlightenment
2026-06-29 13:00:01,464 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:01,468 | INFO | Verifying book information...
2026-06-29 13:00:01,565 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 13:00:01,586 | INFO | Verifying category: Nonfiction
2026-06-29 13:00:01,595 | INFO | ✓ Category page loaded.
2026-06-29 13:00:01,599 | INFO | Opening book: The Artist's Way: A Spiritual Path to Higher Creativity
2026-06-29 13:00:01,716 | INFO | Verifying book details page: The Artist's Way: A Spiritual Path to Higher Creativity
2026-06-29 13:00:01,725 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:01,729 | INFO | Verifying book information...
2026-06-29 13:00:01,819 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 13:00:01,839 | INFO | Verifying category: Nonfiction
2026-06-29 13:00:01,848 | INFO | ✓ Category page loaded.
2026-06-29 13:00:01,852 | INFO | Opening book: Reskilling America: Learning to Labor in the Twenty-First Century
2026-06-29 13:00:01,968 | INFO | Verifying book details page: Reskilling America: Learning to Labor in the Twenty-First Century
2026-06-29 13:00:01,978 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:01,984 | INFO | Verifying book information...
2026-06-29 13:00:02,075 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 13:00:02,093 | INFO | Verifying category: Nonfiction
2026-06-29 13:00:02,102 | INFO | ✓ Category page loaded.
2026-06-29 13:00:02,106 | INFO | Opening book: The Genius of Birds
2026-06-29 13:00:02,234 | INFO | Verifying book details page: The Genius of Birds
2026-06-29 13:00:02,242 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:02,246 | INFO | Verifying book information...
2026-06-29 13:00:02,337 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 13:00:02,358 | INFO | Verifying category: Nonfiction
2026-06-29 13:00:02,367 | INFO | ✓ Category page loaded.
2026-06-29 13:00:02,371 | INFO | Opening book: Algorithms to Live By: The Computer Science of Human Decisions
2026-06-29 13:00:02,499 | INFO | Verifying book details page: Algorithms to Live By: The Computer Science of Human Decisions
2026-06-29 13:00:02,507 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:02,512 | INFO | Verifying book information...
2026-06-29 13:00:02,604 | INFO | ✓ Price, availability, image, and description are visible.
2026-06-29 13:00:02,622 | INFO | Verifying category: Nonfiction
2026-06-29 13:00:02,632 | INFO | ✓ Category page loaded.
2026-06-29 13:00:02,653 | INFO | Verifying homepage is loaded...
2026-06-29 13:00:02,664 | INFO | ✓ Homepage loaded successfully.
2026-06-29 13:00:02,665 | INFO | Opening category: Christian
2026-06-29 13:00:02,774 | INFO | Verifying category: Christian
2026-06-29 13:00:02,786 | INFO | ✓ Category page loaded.
2026-06-29 13:00:02,786 | INFO | Selecting random books...
2026-06-29 13:00:02,788 | INFO | Selected 3 random book(s).
